case_id,VHL_mutation,PBMR1_mutation,TTN_mutation
C3L-01882,0,0,0
C3N-00380,1,1,0
C3N-02082,1,0,0
C3N-00168,0,0,0
C3L-00789,1,1,1
C3L-00800,1,0,0
C3N-01655,0,1,0
C3L-02214,0,0,0
C3L-01462,1,1,0
C3N-02068,1,0,0
C3N-02761,1,0,0
C3N-01080,0,1,0
C3N-01083,1,0,0
C3L-01283,0,0,0
C3N-00149,1,0,0
C3N-01200,1,0,1
C3L-00917,1,0,0
C3L-01963,1,1,0
C3N-02264,1,0,0
C3N-01522,0,1,1
C3L-01286,0,0,0
C3L-00813,1,0,0
C3L-02364,0,0,0
C3N-02005,1,1,1
C3L-02202,1,0,1
C3L-00103,1,0,0
C3N-01179,1,1,0
C3L-02352,0,1,1
C3N-00834,1,0,0
C3L-00606,1,1,0
C3N-01077,1,1,0
C3N-02577,1,1,0
C3L-00079,1,0,0
C3N-02263,1,0,0
C3L-00799,1,1,0
C3L-01459,1,1,0
C3L-01465,1,0,1
C3L-00991,1,0,0
C3L-00790,1,1,0
C3L-00004,1,1,0
C3L-00416,0,0,0
C3N-00317,1,0,0
C3L-01470,0,0,0
C3N-02265,1,0,1
C3L-00902,1,0,0
C3L-02556,1,0,0
C3N-02332,1,0,0
C3L-02842,1,1,0
C3N-00313,0,0,0
C3L-00448,1,0,0
C3L-00815,1,0,0
